JobID|JobIDRaw|ElapsedRaw|Account|AllocCPUS|CPUTimeRAW|NNodes|AllocNodes|NCPUS|Partition|TotalCPU|User|ExitCode|State|Reservation|ReservationId|AllocTRES
244301|244301|65712|f202414686cpcaa3x|256|16822272|2|2|256|large-x86|00:00:00|amaximiano|0:0|COMPLETED|||billing=256,cpu=256,mem=484G,node=2
244302|244302|64724|f202414686cpcaa3x|256|16569344|2|2|256|large-x86|00:00:00|amaximiano|0:0|COMPLETED|||billing=256,cpu=256,mem=484G,node=2
244303|244303|62555|f202414686cpcaa3x|256|16014080|2|2|256|large-x86|00:00:00|amaximiano|0:0|COMPLETED|||billing=256,cpu=256,mem=484G,node=2
244304|244304|68237|f202414686cpcaa3x|256|17468672|2|2|256|large-x86|00:00:00|amaximiano|0:0|COMPLETED|||billing=256,cpu=256,mem=484G,node=2
244305|244305|68144|f202414686cpcaa3x|256|17444864|2|2|256|large-x86|00:00:00|amaximiano|0:0|COMPLETED|||billing=256,cpu=256,mem=484G,node=2
244307|244307|78268|f202414686cpcaa3x|256|20036608|2|2|256|large-x86|00:00:00|amaximiano|0:0|COMPLETED|||billing=256,cpu=256,mem=484G,node=2
244308|244308|71286|f202414686cpcaa3x|256|18249216|2|2|256|large-x86|00:00:00|amaximiano|0:0|COMPLETED|||billing=256,cpu=256,mem=484G,node=2
244309|244309|71875|f202414686cpcaa3x|256|18400000|2|2|256|large-x86|00:00:00|amaximiano|0:0|COMPLETED|||billing=256,cpu=256,mem=484G,node=2
244312|244312|77850|f202414686cpcaa3x|256|19929600|2|2|256|large-x86|00:00:00|amaximiano|0:0|COMPLETED|||billing=256,cpu=256,mem=484G,node=2
244313|244313|66866|f202414686cpcaa3x|256|17117696|2|2|256|large-x86|00:00:00|amaximiano|0:0|COMPLETED|||billing=256,cpu=256,mem=484G,node=2
244314|244314|67897|f202414686cpcaa3x|256|17381632|2|2|256|large-x86|00:00:00|amaximiano|0:0|COMPLETED|||billing=256,cpu=256,mem=484G,node=2
244315|244315|70708|f202414686cpcaa3x|256|18101248|2|2|256|large-x86|00:00:00|amaximiano|0:0|COMPLETED|||billing=256,cpu=256,mem=484G,node=2
244316|244316|70266|f202414686cpcaa3x|256|17988096|2|2|256|large-x86|00:00:00|amaximiano|0:0|COMPLETED|||billing=256,cpu=256,mem=484G,node=2
244317|244317|69716|f202414686cpcaa3x|256|17847296|2|2|256|large-x86|00:00:00|amaximiano|0:0|COMPLETED|||billing=256,cpu=256,mem=484G,node=2
244330|244330|55793|f202414686cpcaa3x|256|14283008|2|2|256|large-x86|00:00:00|amaximiano|0:0|COMPLETED|||billing=256,cpu=256,mem=484G,node=2
244355|244355|0|i20240005g|0|0|1|0|0|normal-a100-80|00:00:00|dianarodrigues28|0:0|CANCELLED by 30175|i20240005g_44|44|
244459|244459|25446|f202414450cpcaa3x|128|3257088|1|1|128|normal-x86|00:00:00|palves|0:0|COMPLETED|||billing=128,cpu=128,mem=242G,node=1
244494_205|244648|19147|f202411063cpcaa3a|192|3676224|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_231|244675|5294|f202411063cpcaa3a|192|1016448|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_249|244693|4289|f202411063cpcaa3a|192|823488|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_258|244702|4425|f202411063cpcaa3a|192|849600|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_307|244751|3879|f202411063cpcaa3a|192|744768|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_313|244757|4002|f202411063cpcaa3a|192|768384|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_336|244780|2780|f202411063cpcaa3a|192|533760|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_350|244794|9643|f202411063cpcaa3a|192|1851456|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_353|244797|2811|f202411063cpcaa3a|192|539712|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_360|244804|2764|f202411063cpcaa3a|192|530688|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_364|244808|2282|f202411063cpcaa3a|192|438144|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_375|244819|2116|f202411063cpcaa3a|192|406272|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
244494_376|244820|2225|f202411063cpcaa3a|192|427200|4|4|192|normal-arm|00:00:00|psilva|0:0|COMPLETED|||billing=192,cpu=192,mem=116G,node=4
